paper,year,doi ,species,hedgesg,lower95,upper95,ruralmean,ruralsd,ruralse,ruralss,urbanmean,urbansd,urbanse,urbanss,measurement,pval,fval,location,collection_period,relativeby,notes,legend
DePasquale et al,2020,doi.org/10.1093/jmammal/gyaa121,blarina_brevicuada,0.07280428,-0.8320199,0.9776284,13.46,1.2,0.4,9,13.96,8.473,2.35,13,relative_mean_cranial_volume,0.54,0.39,east,1939-1988,skulllength,This paper used imaging to calculate much more precise cranial volume,Blarina brevicuada
DePasquale et al,2020,doi.org/10.1093/jmammal/gyaa122,eptesicus_fuscus,-0.7894566,-1.7388413,0.1599281,16.53,4.269,1.35,10,13.17,3.914,1.18,11,relative_mean_cranial_volume,0.001,36.53,east,1935-2014,skulllength,,Eptesicus fuscus
DePasquale et al,2020,doi.org/10.1093/jmammal/gyaa123,microtus_pennsylvanicus,1.019698,0.1723903,1.8670051,14.12,3.603,1.04,12,26.09,14.87,3.84,15,relative_mean_cranial_volume,0.001,109.1,east,1899-2013,skulllength,,Microtus pennsylvanicus
DePasquale et al,2020,doi.org/10.1093/jmammal/gyaa124,peromyscus_leucopus,0.4911571,-0.2311542,1.2134684,15.84,2.356,0.68,12,25.88,24.1,4.82,25,relative_mean_cranial_volume,0.001,50.73,east,1899-1989,skulllength,,Peromyscus leucopus
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1384,blarina_brevicuada,-0.2521638,-0.7988234,0.2944958,0.08507,0.006924,,20,0.08684,0.007122,,17,relative_mean_cranial_volume,,,plains,1912-2005,bodylength,I had to calculate relative cc myself from lxwxh cranial measurements and body length,Blarina brevicuada
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1385,clethrionomys_gapperi,-0.2851615,-0.9817388,0.4114157,0.08002,0.009231,,22,0.08268,0.008975,,17,relative_mean_cranial_volume,,,plains,1929-2005,bodylength,,Clethrionomys gapperi
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1386,eptesicus_fuscus,-0.1204133,-0.9271413,0.6863146,0.0428,0.003396,,11,0.04324,0.003497,,14,relative_mean_cranial_volume,,,plains,1937-1995,bodylength,,Eptesicus fuscus
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1387,geomys_bursarius,-0.2455512,-0.952048,0.4609456,0.2018,0.02109,,16,0.207,0.01985,,16,relative_mean_cranial_volume,,,plains,1916-2001,bodylength,,Geomys bursarius
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1388,myotis_lucifugus,-0.7399933,-1.5215384,0.04155181,0.03891,0.003666,,15,0.04214,0.004802,,13,relative_mean_cranial_volume,,,plains,1916-2004,bodylength,,Myotis lucifugus
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1389,microtus_pennsylvanicus,-0.4408185,-1.1111759,0.2295388,0.08905,0.009089,,18,0.09311,0.008904,,18,relative_mean_cranial_volume,,,plains,1911-2005,bodylength,,Microtus pennsylvanicus
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1390,peromyscus_leucopus,-0.6740199,-1.25553314,-0.09250658,0.08685,0.007928,,24,0.09243,0.008341,,25,relative_mean_cranial_volume,,,plains,1914-2005,bodylength,,Peromyscus leucopus
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1391,scuirus_carolinensis,-0.3748675,-1.187823,0.438088,0.3718,0.02136,,11,0.3913,0.06439,,14,relative_mean_cranial_volume,,,plains,1911-2004,bodylength,,Scuirus carolinensis
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1392,sorex_cinereus,-0.2881252,-0.9925091,0.4162586,0.03183,0.005198,,19,0.03328,0.004484,,14,relative_mean_cranial_volume,,,plains,1947-2005,bodylength,,Sorex cinereus
Snell-Rood & Wick,2013,https://doi.org/10.1098/rspb.2013.1393,tamiasciurus_hudsonicus,0.3794987,-0.2851107,1.0441081,0.3273,0.0337,,22,0.3154,0.02537,,15,relative_mean_cranial_volume,,,plains,1912-2005,bodylength,,Tamiasciurus hudsonicus
Sluka et al,2025,https://doi.org/10.1093/icb/icaf094,procyon_loctor,-0.4093883,-1.1518699,0.3330933,0.4263358,0.03461053,,10,0.4088428,0.03461053,,7,relative_mean_cranial_volume,,,east,1885-2003,skulllength,location highest resolution was state but insufficient sample size for comparison,Procyon loctor
Sluka et al,2025,https://doi.org/10.1093/icb/icaf095,procyon_loctor,1.06963,-0.6246557,2.7639154,0.4839081,0.02934623,,13,0.522834,0.07011801,,2,relative_mean_cranial_volume,,,west,1891-1979,skulllength,had to calculate relative cc myself but the paper reported cc,Procyon loctor
Sluka et al,2025,https://doi.org/10.1093/icb/icaf096,procyon_loctor,-0.426834,-1.4887486,0.6350806,0.4402443,0.04418939,,13,0.4175989,0.05839878,,19,relative_mean_cranial_volume,,,plains,1891-2005,skulllength,ignored subspecies,Procyon loctor
Sluka et al,2025,https://doi.org/10.1093/icb/icaf097,procyon_loctor,-1.788524,-3.1105643,-0.4664835,0.4880195,0.03595806,,8,0.4231301,0.03190405,,7,relative_mean_cranial_volume,,,desert,1893-1999,skulllength,decided urban as %pop>0.5 - arbitrary but had to be done,Procyon loctor
