Museum,Catalog_Number,Species,Sex,Year,State,County,,Ecoregion,WGS84LAT,WGS84LONG,CranialSutures,%UrbanPopulation,UrbanAge
AMNH,MO-2540,Procyon lotor,M,1890,New York,Westchester,,East,41.1249,-73.7718,Partial,0.5871,5.8217
AMNH,MO-2988,Procyon lotor fuscipes,F,1891,Texas,Nueces,,Plains,27.7778,-97.6629,Fused,0.5421,6.4046
AMNH,MO-2989,Procyon lotor fuscipes,F,1891,Texas,Nueces,,Plains,27.7778,-97.6629,Fused,0.5421,6.4046
AMNH,MO-3375,Procyon lotor hirtus,M,1891,Minnesota,Hennepin,,Plains,44.892672,-93.180948,Fused,0.8891,6.7985
AMNH,MO-8335,Procyon lotor psora,M,1892,California,San Diego,,PacificWest,33.0185,-116.6934,Fused,0.4619,5.2735
AMNH,M-16667,Procyon lotor lotor,M,1901,New York,Orange,,East,41.33071,-73.98692,Fused,0.5279,4.6671
AMNH,M-16668,Procyon lotor lotor,F,1901,New York,Orange,,East,41.33071,-73.98692,Partial,0.5279,4.6671
AMNH,M-187837,Procyon lotor lotor,M,1961,New York,Suffolk,,East,40.83992,-73.34002,Partial,0.7226,5.8958
AMNH,M-238270,Procyon lotor,M,1976,Georgia,Liberty,,East,31.62682,-81.15432,Fused,0,5.2439
CHAS,1855,Procyon lotor,F,1891,Illinois,Will,,East,41.640364,-88.068823,Fused,0.45,5.2503
CHAS,3266,Procyon lotor,M,1934,Florida,Monroe,,East,25.141791,-80.925349,Fused,0.959,5.2106
CHAS,3331,Procyon lotor,F,1934,Florida,Sarasota,,East,27.083574,-82.31918,Fused,0,4.1551
DMNS,1252,Procyon lotor hirtus,M,1914,Colorado,Las Animas,,Plains,37.03405,-103.047806,Fused,0.2447,7.629
DMNS,6676,Procyon lotor hirtus,M,1949,Colorado,Cheyenne,,Plains,38.762716,-102.795413,Partial,0,8
DMNS,9317,Procyon lotor hirtus,M,1997,Colorado,Denver,,Plains,39.702206,-104.805779,Fused,0.9999,7.7543
FMNH,235449,Procyon lotor,M,2003,Wisconsin,Brown,,East,44.347675,-87.827268,Partial,0.8387,5.9517
LACM,52261,Procyon lotor,M,1967,California,Inyo,,PacificWest,36.4480863,-118.024792,Fused,0.1932,7.0299
LACM,92339,Procyon lotor,M,1955,Maryland,Dorchester,,East,38.4601,-76.0316,Fused,1,5.0768
LACM,92342,Procyon lotor,M,1952,South Carolina,Dillon,,East,34.4005,-79.3465,Fused,1,7.875
MCZ,BANGS-1949,Procyon lotor lotor,F,1894,Connecticut,"Southeastern
Connecticut Planning Region",,East,41.66565,-72.2548,Fused,0.3903,5.6678
MCZ,BANGS-2495,Procyon lotor elucus,M,1893,Florida,Citrus,,East,28.97859,-82.56871,Fused,0,2.999
MCZ,BANGS-3502,Procyon lotor elucus,M,1895,Florida,Brevard,,East,27.92349,-80.48819,Fused,0,4.3573
MCZ,BANGS-6522,Procyon lotor elucus,F,1897,Florida,Duval,,East,30.40316,-81.56152,Fused,0.6418,5.7644
MCZ,BANGS-7906,Procyon lotor psora,F,1895,California,Marin,,PacificWest,38.06159,-122.6986,Fused,0.2517,6.2223
MCZ,BANGS-7907,Procyon lotor psora,F,1897,California,Marin,,PacificWest,38.06159,-122.6986,Fused,0.2517,6.2223
MCZ,27823,Procyon lotor incautus,M,1930,Florida,Monroe,,East,24.69459,-81.32536,Partial,0.959,5.2106
MCZ,27825,Procyon lotor marinus,M,1930,Florida,Collier,,East,25.81767,-81.35928,Fused,0,2.7802
MCZ,27826,Procyon lotor auspicatus,F,1930,Florida,Monroe,,East,24.76323,-80.9521,Fused,0.959,5.2106
MCZ,39017,Procyon lotor lotor,M,1904,Vermont,Franklin,,East,44.66972,-73.01253,Fused,0.2066,5.8637
MCZ,55567,Procyon lotor lotor,M,1911,Maine,Kennebec,,East,44.32992,-69.85827,Fused,0.5492,5.2244
MCZ,55569,Procyon lotor lotor,M,1911,Maine,Kennebec,,East,44.32992,-69.85827,Fused,0.5492,5.2244
MCZ,60127,Procyon lotor lotor,F,1988,Massachusetts,Dukes,,East,41.48221,-70.75329,Fused,0,2.8801
MCZ,62095,Procyon lotor lotor,F,1996,Massachusetts,Essex,,East,42.628,-71.14835,Fused,0.9029,6.0437
MSB,101903,Procyon lotor hirtus,M,1974,Montana,Custer,,Plains,46.379166,-105.887184,Fused,0,7.332
MSB,108248,Procyon lotor pallidus,F,1981,Colorado,Moffat,,Plains,40.7975011,-108.924977,Fused,0.6193,6.772
MSB,108348,Procyon lotor pallidus,F,1981,Colorado,Moffat,,Plains,40.7975011,-108.924977,Fused,0.6193,6.772
MSB,19102,Procyon lotor,F,1963,South Dakota,Minnehaha,,Plains,43.7177,-96.4713,Fused,0.7691,6.6252
MSB,119375,Procyon lotor hirtus,F,2005,Nebraska,Cherry,,Plains,42.533968,-100.525884,Partial,0.4458,7.9497
MSB,160448,Procyon lotor pallidus,M,1966,Arizona,Coconino,,Desert,35.24941,-112.27944,Fused,0.2565,3.1507
MSB,49875,Procyon lotor mexicanus,F,1982,New Mexico,Bernalillo,,Desert,35.1042821,-106.375781,Fused,0.9642,5.2999
MSB,49876,Procyon lotor mexicanus,M,1982,New Mexico,Bernalillo,,Desert,35.1042821,-106.375781,Fused,0.9642,5.2999
MSB,54908,Procyon lotor mexicanus,F,1984,New Mexico,Bernalillo,,Desert,35.1042821,-106.375781,Partial,0.9642,5.2999
MSB,55592,Procyon lotor mexicanus,F,1985,New Mexico,Bernalillo,,Desert,35.1042821,-106.375781,Fused,0.9642,5.2999
MSB,64399,Procyon lotor,F,1947,Florida,St Johns,,East,30.1778,-81.3878,Fused,1,3.999
MSB,82505,Procyon lotor,M,1994,New Mexico,Socorro,,Desert,34.41861,-106.833054,Partial,0.551,5.6667
MSB,96189,Procyon lotor,F,1997,New Mexico,Bernalillo,,Desert,35.1075478,-106.372795,Fused,0.956,5.2999
MSB,142758,Procyon lotor,M,1999,New Mexico,Bernalillo,,Desert,35.1075478,-106.372795,Fused,0.956,5.2999
MVZ,3240,Procyon lotor psora,F,1908,California,San Diego,,PacificWest,33.07,-116.6,Fused,0.5044,5.2735
MVZ,3291,Procyon lotor psora,M,1904,California,Shasta,,PacificWest,40.7846896,-122.295592,Fused,0.1701,4.5783
