Museum,Catalog_Number,BCV,MZB,ZW,PL,CBL,DAO,PUL,PUW,M1UL,M2UL,M1UW,M2UW,PLL,PLW,M1LL,M2LL,M1LW,M2LW,BL
AMNH,MO-2540,49.5,24.697,64.423,70.453,105.587,15.537,7.640,8.243,9.127,6.337,9.447,8.973,7.100,5.340,10.090,10.270,7.125,6.017,6.264
AMNH,MO-2988,42,25.300,68.540,66.347,105.613,15.360,8.370,8.370,9.107,6.060,8.500,8.390,6.693,4.853,10.323,10.803,6.680,6.007,6.456
AMNH,MO-2989,41.5,24.877,71.203,69.223,109.210,17.520,8.220,8.760,8.933,6.510,9.647,8.370,6.623,5.207,9.657,10.253,6.467,5.900,5.937
AMNH,MO-3375,50,28.557,83.320,73.857,116.323,17.567,8.467,8.420,8.240,6.287,9.065,8.980,6.607,5.193,9.337,10.373,6.177,5.603,5.708
AMNH,MO-8335,NA,28.867,76.160,75.293,117.540,18.353,8.290,8.480,8.877,5.967,9.877,8.813,7.243,5.103,9.903,9.640,6.157,5.830,6.304
AMNH,M-16667,51,25.547,71.917,70.430,113.100,13.960,8.113,8.280,8.600,6.303,9.113,9.067,6.777,5.447,9.887,11.197,6.900,6.157,6.034
AMNH,M-16668,37,21.543,63.047,67.920,103.770,14.540,7.700,7.683,7.880,5.337,8.207,7.503,6.850,4.920,9.250,9.613,6.153,5.393,5.500
AMNH,M-187837,40.5,24.560,62.660,65.047,101.343,13.460,7.183,7.827,7.893,5.687,8.537,8.040,6.260,5.293,8.987,9.357,6.520,5.667,5.334
AMNH,M-238270,48.5,26.455,73.817,62.260,107.027,16.040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHAS,1855,NA,23.733,73.097,64.473,106.643,14.843,7.823,8.230,8.103,4.863,9.597,8.080,6.540,5.287,9.373,8.873,7.240,5.903,5.111
CHAS,3266,NA,27.747,79.507,71.620,118.583,16.513,7.830,8.423,7.230,5.040,9.330,8.100,6.510,5.057,9.293,9.450,6.353,5.887,5.838
CHAS,3331,NA,23.383,70.580,68.280,107.823,15.693,7.863,8.510,7.330,5.287,8.900,8.327,6.330,5.220,8.703,9.650,6.147,5.487,5.033
DMNS,1252,NA,29.947,78.857,71.783,119.150,18.520,8.860,9.390,9.003,6.757,10.433,9.267,7.310,5.907,10.273,9.533,7.233,6.157,5.684
DMNS,6676,NA,29.050,75.320,74.923,121.787,17.637,8.560,8.663,8.707,5.340,9.747,8.600,6.807,6.077,9.767,9.163,7.270,6.620,5.751
DMNS,9317,NA,28.877,79.783,72.430,120.057,15.860,8.277,8.960,8.113,4.700,9.370,8.853,7.020,5.337,9.817,10.290,7.060,6.530,5.585
FMNH,235449,42.9,25.573,66.497,66.397,109.430,13.930,6.967,8.083,8.383,5.687,7.977,7.760,6.697,5.417,9.177,10.157,7.057,6.727,5.955
LACM,52261,56,27.293,72.883,69.483,113.463,17.180,8.467,8.463,8.363,5.533,9.113,8.317,7.387,5.343,9.843,9.473,6.207,5.857,6.304
LACM,92339,31,22.913,65.463,66.243,105.467,16.053,NA,NA,NA,6.420,NA,7.760,6.477,4.927,9.827,NA,6.213,NA,6.022
LACM,92342,51,25.563,76.227,66.137,107.987,16.213,7.233,7.780,8.247,5.323,8.130,7.263,6.250,4.627,9.490,9.423,5.743,5.757,5.365
MCZ,BANGS-1949,50,26.697,73.960,67.547,109.793,16.367,7.720,8.510,8.790,5.753,8.750,7.510,7.040,5.670,9.663,9.273,6.877,5.510,5.784
MCZ,BANGS-2495,45,24.330,72.033,65.597,105.493,15.020,6.907,7.210,8.120,5.537,8.510,7.457,6.043,4.847,9.237,9.137,6.093,5.450,5.948
MCZ,BANGS-3502,47,28.260,80.117,72.550,116.240,18.727,7.293,7.937,8.533,5.807,8.740,7.630,7.173,4.903,9.487,9.247,6.427,5.537,5.720
MCZ,BANGS-6522,42.5,22.213,64.323,62.327,98.377,13.323,8.620,8.503,8.747,5.850,8.817,8.747,7.117,5.060,9.677,10.333,6.490,5.663,5.570
MCZ,BANGS-7906,56,28.747,76.877,70.997,116.530,17.613,7.843,8.273,8.683,5.497,9.290,7.983,7.553,5.283,10.323,9.670,6.937,6.400,6.448
MCZ,BANGS-7907,48,24.823,66.083,65.380,105.860,15.317,7.763,8.555,8.303,5.893,8.820,8.670,7.377,5.233,9.497,8.977,6.307,5.957,5.943
MCZ,27823,39.5,23.320,68.037,64.373,105.773,16.017,6.480,7.167,7.553,5.470,7.363,6.917,6.243,4.243,9.150,8.527,5.563,5.303,6.156
MCZ,27825,36,25.900,64.893,52.400,98.660,14.027,7.927,7.945,8.693,5.347,8.630,7.750,6.843,4.983,9.970,9.680,6.457,5.933,5.952
MCZ,27826,35,20.623,58.370,54.647,93.707,13.383,6.937,7.327,7.983,5.457,8.350,7.760,6.107,5.703,9.007,9.310,6.050,5.107,5.515
MCZ,39017,48,25.433,70.990,68.947,109.650,15.703,7.377,7.730,8.433,5.603,8.530,7.930,7.163,5.033,9.277,10.137,6.347,5.540,5.524
MCZ,55567,44,27.695,73.580,70.707,113.390,17.263,8.190,8.163,8.777,6.833,9.057,9.493,NA,NA,NA,5.627,NA,3.650,NA
MCZ,55569,55,29.643,84.043,77.580,121.607,NA,NA,NA,NA,6.657,NA,8.413,NA,NA,NA,NA,NA,NA,NA
MCZ,60127,43.5,24.590,69.207,63.893,102.417,15.307,7.930,7.997,8.620,6.060,8.760,8.390,6.887,4.927,9.710,9.497,6.657,5.597,5.555
MCZ,62095,48,24.603,73.593,69.103,108.630,17.090,8.573,8.767,8.410,5.680,8.927,8.443,6.887,5.110,9.537,9.407,6.797,6.180,5.816
MSB,101903,50,28.657,77.640,78.340,121.543,19.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
